date,FELONY,MISDEMEANOR,VIOLATION,total
2007-04-06,431,788,147,1366
2007-04-07,433,797,173,1403
2007-04-08,261,619,169,1049
2007-04-09,355,688,150,1193
2007-04-10,411,797,178,1386
2007-04-11,445,843,170,1458
2007-04-12,397,766,150,1313
2007-04-13,494,927,171,1592
2007-04-14,404,853,176,1433
2007-04-15,335,642,131,1108
2007-04-16,429,708,160,1297
2007-04-17,449,895,213,1557
2007-04-18,456,886,190,1532
2007-04-19,457,883,197,1537
2007-04-20,479,1000,231,1710
2007-04-21,419,799,191,1409
2007-04-22,362,774,179,1315
2007-04-23,390,856,199,1445
2007-04-24,455,910,206,1571
2007-04-25,477,852,197,1526
2007-04-26,465,899,188,1552
2007-04-27,527,822,195,1544
2007-04-28,426,928,186,1540
2007-04-29,360,778,170,1308
2007-04-30,446,817,230,1493
2007-05-01,566,1054,242,1862
2007-05-02,499,887,189,1575
2007-05-03,458,942,183,1583
2007-05-04,514,866,213,1593
2007-05-05,464,875,177,1516
2007-05-06,352,798,156,1306
2007-05-07,473,815,202,1490
2007-05-08,409,820,186,1415
2007-05-09,459,936,184,1579
2007-05-10,464,951,194,1609
2007-05-11,502,921,192,1615
2007-05-12,484,909,195,1588
2007-05-13,372,723,165,1260
2007-05-14,429,883,213,1525
2007-05-15,523,949,221,1693
2007-05-16,494,902,189,1585
2007-05-17,531,898,191,1620
2007-05-18,505,950,204,1659
2007-05-19,406,752,160,1318
2007-05-20,426,773,191,1390
2007-05-21,433,824,184,1441
2007-05-22,471,922,210,1603
2007-05-23,508,891,214,1613
2007-05-24,465,891,215,1571
2007-05-25,551,862,222,1635
2007-05-26,420,842,193,1455
2007-05-27,400,723,169,1292
2007-05-28,409,721,190,1320
2007-05-29,494,929,235,1658
2007-05-30,462,903,231,1596
2007-05-31,508,870,182,1560
2007-06-01,623,1080,250,1953
2007-06-02,465,891,195,1551
2007-06-03,419,678,171,1268
2007-06-04,407,742,191,1340
2007-06-05,503,985,229,1717
2007-06-06,513,933,194,1640
2007-06-07,426,885,198,1509
2007-06-08,541,900,201,1642
2007-06-09,444,800,180,1424
2007-06-10,400,814,209,1423
2007-06-11,458,808,228,1494
2007-06-12,491,886,220,1597
2007-06-13,520,885,219,1624
2007-06-14,499,900,196,1595
2007-06-15,538,947,209,1694
2007-06-16,431,821,202,1454
2007-06-17,380,763,214,1357
2007-06-18,469,839,221,1529
2007-06-19,472,903,184,1559
2007-06-20,468,929,226,1623
2007-06-21,474,865,190,1529
2007-06-22,489,876,169,1534
2007-06-23,496,952,191,1639
2007-06-24,421,816,184,1421
2007-06-25,490,828,186,1504
2007-06-26,459,885,197,1541
2007-06-27,449,926,189,1564
2007-06-28,447,796,211,1454
2007-06-29,527,844,187,1558
2007-06-30,475,813,193,1481
2007-07-01,549,924,217,1690
2007-07-02,451,754,204,1409
2007-07-03,516,888,194,1598
2007-07-04,431,818,192,1441
2007-07-05,473,884,175,1532
2007-07-06,499,854,175,1528
2007-07-07,479,831,182,1492
2007-07-08,419,732,180,1331
2007-07-09,424,757,169,1350
2007-07-10,468,901,208,1577
2007-07-11,482,852,178,1512
2007-07-12,525,890,177,1592
2007-07-13,500,934,182,1616
2007-07-14,464,862,203,1529
2007-07-15,385,809,186,1380
2007-07-16,477,822,179,1478
2007-07-17,443,907,183,1533
2007-07-18,478,813,195,1486
2007-07-19,486,783,212,1481
2007-07-20,546,963,195,1704
